ID,Item,Item_det,Price,Resturant_id
0,2 Idli with 1 Vada,,60,11116
1,Masala Dosa,,60,11116
2,Gobi Manchurian,,95,11116
3,Tomato Soup,,75,11116
4,Cream of Mushroom Soup,,80,11116
5,Sweet Corn Soup,,70,11116
6,Sweet Corn Veg Soup,,85,11116
7,Manchow Soup,,95,11116
8,Hot and Sour Soup,,95,11116
9,Dal Fry,,120,11116
10,Dal Tadka,,135,11116
11,Dal Punjabi,,130,11116
12,Dal Makhani,,135,11116
13,Dal Methi,,135,11116
14,Dal Kolhapuri,,135,11116
15,Mixed Veg Curry,,175,11116
16,Aloo Gobi,,150,11116
17,Paneer Matar,,180,11116
18,Paneer Chilli Masala,,180,11116
19,Mushroom Chilli Masala,,180,11116
20,Paneer Kadhai,,170,11116
21,Paneer Korma,,170,11116
22,Gobi Masala,,135,11116
23,Mixed Veg Kadhai,,170,11116
24,Veg Kolhapuri,,155,11116
25,Veg Hyderabadi,,155,11116
26,Veg Do Pyaza,,170,11116
27,Veg Pepper Masala,,170,11116
28,Navratan Korma,,170,11116
29,Kaju Masala,,225,11116
30,Malai Kofta,,170,11116
31,Nargisi Kofta,,170,11116
32,Paneer Kofta,,175,11116
33,Veg Kofta,,175,11116
34,Maharani Kofta,,175,11116
35,Roti,,28,11116
36,Kulcha,,35,11116
37,Naan,,40,11116
38,Butter Roti,,40,11116
39,Butter Kulcha,,48,11116
40,Butter Naan,,55,11116
41,Stuffed Paratha,,75,11116
42,Ghee Rice,,125,11116
43,Jeera Rice,,125,11116
44,Veg Biryani,,135,11116
45,Veg Pulao,,120,11116
46,Peas Biryani,,135,11116
47,Mughlai Biryani,,135,11116
48,Handi Biryani,,135,11116
49,Peas Pulao,,115,11116
50,Paneer Biryani,,135,11116
51,Hyderabadi Biryani,,135,11116
52,Basmati Plain Rice,,110,11116
53,Veg Fried Rice,,125,11116
54,Paneer Fried Rice,,125,11116
55,Mushroom Fried Rice,,125,11116
56,Schezwan Fried Rice,,130,11116
57,Onion Chilli Fried Rice,,135,11116
58,Baby Corn Fried Rice,,130,11116
59,Paneer Noodles,,135,11116
60,Mushroom Noodles,,125,11116
61,Veg Noodles,,110,11116
62,Shanghai Noodles,,135,11116
63,Schezwan Noodles,,130,11116
64,Gobi Chilli,,120,11116
65,Gobi 65,,120,11116
66,Baby Corn Manchurian,,135,11116
67,Baby Corn Chilli,,135,11116
68,Baby Corn 65,,135,11116
69,Paneer Manchurian,,135,11116
70,Paneer Chilli,,135,11116
71,Paneer Lemon Dry,,135,11116
72,Mushroom Pudina Chilli,,140,11116
73,Mushroom Manchurian,,140,11116
74,Mushroom Chilli,,140,11116
75,Mushroom Pepper Dry,,140,11116
76,Mushroom 65,,140,11116
77,1 Idli with 1 Vada,,50,11116
78,Rava idli,,42,11116
79,Vada,,27,11116
80,Kesari Bath,,27,11116
81,Khara Bath,,27,11116
82,Chow Chow Bath,,54,11116
83,Rice Bath,,55,11116
84,Pongal,,55,11116
85,Curd Rice,,50,11116
86,Ghee Masala Dosa,,70,11116
87,Palak Masala Dosa,,70,11116
88,Cheese Masala Dosa,,70,11116
89,Mysore Masala Dosa,,70,11116
90,Plain Dosa,,55,11116
91,Rava Dosa,,70,11116
92,Onion Dosa,,70,11116
93,Poori Saagu,,65,11116
94,Fruit Salad,,75,11116
95,Fruit Salad with Ice Cream,,90,11116
96,Gad Bad Ice Cream,,110,11116
97,Cone Ice Cream,,45,11116
98,Special Cone Ice Cream,,60,11116
99,Vanilla Ice Cream ,1 Scoop,60,11116
