ID,Resturant_Name,Location,Latitude,Longitude,Rating,No_of_votes,True_rating
11116,Udupi Thaja Thindi,BTM,12.91523115,77.60014437,2.7,38,0.010579441
9851,Momo Hut,Koramangala 5th Block,12.93418874,77.61574913,4,657,0.17372481
8380,Chandrika Tiffins,Whitefield,13.01579649,77.76208743,3.8,43,0.012131795
8462,Shuchi Ruchi,Malleshwaram,13.00115963,77.57233623,3.9,286,0.076089218
8466,Smiley's Kitchen,Koramangala 1st Block,12.92957145,77.63247773,0,1,0.000263111
8476,Lazeez Corner,HSR,12.89581489,77.65796173,0,1,0.000263111
10508,Urban Solace - Café for the Soul,Ulsoor,12.98495537,77.61834685,3.8,435,0.115271183
9903,Azura Restaurant,Bellandur,12.92670256,77.67850703,2.8,88,0.023756503
8042,Pure Andhra Style Reddy's Restaurant,HSR,12.91225599,77.63427883,3.7,135,0.03631645
9861,YumYumDilli,Hennur,13.03336278,77.63504695,2.9,101,0.027198469
9862,Shan-e-Punjabi Express,Whitefield,12.978632,77.7414527,3,40,0.011170245
11394,Delhi Delight Food Cafe,Kaggadasapura,12.968057,77.670176,3.7,24,0.007111164
9867,Snack Knack,BTM,12.91062134,77.60994885,2.9,33,0.009306943
10973,Spicy House,Marathahalli,12.95309752,77.69823242,2.8,68,0.018494289
9877,Pappu Da Dhaba,Jayanagar,12.91648799,77.59264927,3.6,52,0.014456736
9972,Saha Chowmein,Sahakara Nagar,13.06290976,77.58685,3.8,147,0.039495306
9560,Wok Chow,Sanjay Nagar,13.047861,77.574123,3.6,112,0.030243377
10150,Oz Pies,Bellandur,12.922193,77.6763,3.7,32,0.00921605
11302,Hyderabad Cuisine,"Varthur Main Road, Whitefield",12.9567754,77.7362292,2.7,65,0.01768343
9982,Say Cheeze,Kanakapura Road,12.87997835,77.54599795,2.8,12,0.003760091
9984,Atithi Sambrama,Sarjapur Road,12.90704155,77.69585766,3.7,40,0.011320935
10040,Vennela Andhra Meals,Jayanagar,12.9217756,77.5739031,3.4,15,0.004678586
10586,More MegaStore,Marathahalli,12.9481784,77.6986572,0,0,0
10870,Ashraya Hotel,Infantry Road,12.9836167,77.5934995,0,0,0
10941,Tamarind Hospitality,Banaswadi,13.0127763,77.6475892,0,0,0
10395,Halli Mane Village Food Factory,JP Nagar,12.8848253,77.5823761,0,0,0
10044,Food Mingo,Marathahalli,12.950582,77.704575,0,1,0.000263111
8216,Subz,Jayanagar,12.93298819,77.58511864,4.2,1913,0.504234886
8245,Mustard Cafe,Koramangala 3rd Block,12.92646837,77.63339438,4.1,800,0.211371165
8508,Sip N Bite,Bommanahalli,12.91108213,77.62427922,3.2,8,0.002793757
9931,Banjara Melting Pot,Koramangala 4th Block,12.93136576,77.63284821,4.3,736,0.194575136
8344,Punjabi's by Chefeana,Bannerghatta Road,12.8653881,77.5993421,0,0,0
10177,Savours,Sarjapur Road,12.91545533,77.69908704,3.3,4,0.001762842
11293,Pyramid Food Court,Domlur,12.9492524,77.6434862,0,0,0
9998,Eatalio’s,Vijay Nagar,12.95882463,77.52632964,3.7,102,0.027633798
8463,Samovar,Kammanahalli,13.01800863,77.63604004,3.9,167,0.044779047
10045,Sree Abhiruchi,HSR,12.90855792,77.64929753,2.8,15,0.004549423
7816,Olive Garden,Kalyan Nagar,13.02247141,77.63798598,3.5,202,0.053901812
9865,Total Mall,Marathahalli,12.9797971,77.6936053,0,0,0
10216,Spicy Punjabi Pharatha,Bellandur,12.9269239,77.67916594,2.8,29,0.008232973
8082,BANGARPET CHATS,Rammurthy Nagar,13.02069735,77.67839447,3.4,7,0.002573701
11115,Kubera Veg and Non-Veg,Vijay Nagar,12.9762695,77.52773445,0,3,0.000789332
